ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
2,0,policy_robustness,rul_base,0.05735641730019804,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,12.177768429751165,15653.0,897.8
2,1,policy_robustness,rul_base,0.060623494781910627,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,11.543886125702539,14948.0,906.2
2,2,policy_robustness,rul_base,0.06116406408436422,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,11.741247135919586,14793.0,904.8
2,3,policy_robustness,rul_base,0.06460724970430669,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,11.920273889212094,14373.0,928.6
2,4,policy_robustness,rul_base,0.06646412037037036,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,12.189003796659566,13824.0,918.8
2,5,policy_robustness,rul_base,0.06046854082998661,0.812486404176637,69.0,331.0,22.15528781793842,0.0,12.437252461167903,14940.0,903.4
2,6,policy_robustness,rul_base,0.06047844339308323,0.8121110449699659,66.0,334.0,22.256280402478843,0.0,11.450584504930628,15007.0,907.6
2,7,policy_robustness,rul_base,0.06013395847287341,0.8138013735964242,73.0,327.0,21.90221031480241,0.0,12.097408912348184,14930.0,897.8
2,8,policy_robustness,rul_base,0.06196913833128499,0.8083673694668285,66.0,334.0,22.804861395602895,0.0,12.126491518895936,14646.0,907.6
2,9,policy_robustness,rul_base,0.056673089274245345,0.8238967086464176,84.0,316.0,20.29543994861914,0.0,12.380200922673426,15570.0,882.4
2,10,policy_robustness,rul_base,0.05641156571136784,0.8244487712466453,83.0,317.0,20.23361205080743,0.0,10.82483258706749,15667.0,883.8
2,11,policy_robustness,rul_base,0.060530879018273975,0.8119787717968158,66.0,334.0,22.275576897425637,0.0,11.178635893498358,14994.0,907.6
2,12,policy_robustness,rul_base,0.06228606777098083,0.8076944429023483,67.0,333.0,22.88817100831672,0.0,12.91392305748038,14549.0,906.2
2,13,policy_robustness,rul_base,0.06263698863249609,0.8056484782012613,57.0,343.0,23.347627799332926,0.0,11.815113493247107,14691.0,920.2
2,14,policy_robustness,rul_base,0.05771105478650809,0.8207713234117459,80.0,320.0,20.796776499642554,0.0125,12.192580673474618,15387.0,888.0
2,0,policy_robustness,shap_gate,0.059070145798135285,0.8128274248512283,40.0,360.0,22.52675051623803,0.0,8.552437719484043,15981.0,944.0
2,1,policy_robustness,shap_gate,0.062130061027626485,0.8048059149722736,38.0,362.0,23.75483955640134,0.0,8.315487097754218,15239.0,946.8
2,2,policy_robustness,shap_gate,0.0624256050786933,0.8042761408360812,40.0,360.0,23.80637481814575,0.0,7.846616470308395,15122.0,944.0
2,3,policy_robustness,shap_gate,0.06568392183750428,0.7950395203052603,30.0,370.0,25.368529310935894,0.0,8.585030168107918,14585.0,958.0
2,4,policy_robustness,shap_gate,0.06757485454803462,0.7908203344181349,34.0,366.0,25.968497232865047,0.0,9.333715502542974,14094.0,952.4
2,5,policy_robustness,shap_gate,0.0623856832686361,0.804052266835952,37.0,363.0,23.883150207250477,0.0,10.690452983997718,15199.0,948.2
