ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,false_n,mean_rem,op,total_cost
2,0,gate_control,rul_base,0.05735641730019804,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,0.0,12.177768429751165,15653.0,897.8
2,0,gate_control,shap_gate,0.059070145798135285,0.8128274248512283,40.0,360.0,22.52675051623803,0.0,0.0,8.552437719484043,15981.0,944.0
2,0,gate_control,strict_rul_gate,0.05947496414541373,0.811055479694533,33.0,367.0,22.88457941011411,0.0,0.0,8.650926263310566,16037.0,953.8
2,0,gate_control,oracle_false30_gate,0.05735641730019804,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,0.0,12.177768429751165,15653.0,897.8
2,0,gate_control,random_action_matched,0.059326294620412265,0.8121682319314005,40.0,360.0,22.624434389140273,0.0,0.0,12.643909700265592,15912.0,944.0
2,1,gate_control,rul_base,0.060623494781910627,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,0.0,11.543886125702539,14948.0,906.2
2,1,gate_control,shap_gate,0.062130061027626485,0.8048059149722736,38.0,362.0,23.75483955640134,0.0,0.0,8.315487097754218,15239.0,946.8
2,1,gate_control,strict_rul_gate,0.06326011862086946,0.8001564537157757,21.0,379.0,24.701818418822917,0.0,0.0,6.603397723219006,15343.0,970.6
2,1,gate_control,oracle_false30_gate,0.060623494781910627,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,0.0,11.543886125702539,14948.0,906.2
2,1,gate_control,random_action_matched,0.06245794577478725,0.8039777247414479,38.0,362.0,23.880203179629262,0.0,0.0,10.400938266520432,15159.0,946.8
2,2,gate_control,rul_base,0.06116406408436422,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,0.0,11.741247135919586,14793.0,904.8
2,2,gate_control,shap_gate,0.0624256050786933,0.8042761408360812,40.0,360.0,23.80637481814575,0.0,0.0,7.846616470308395,15122.0,944.0
2,2,gate_control,strict_rul_gate,0.06379627198739826,0.7986999370937303,20.0,380.0,24.940929377789445,0.0,0.0,6.150594268334766,15236.0,972.0
2,2,gate_control,oracle_false30_gate,0.06116406408436422,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,0.0,11.741247135919586,14793.0,904.8
2,2,gate_control,random_action_matched,0.06276178445582076,0.8034293039901714,40.0,360.0,23.934578817897748,0.0,0.0,11.756621830753186,15041.0,944.0
2,3,gate_control,rul_base,0.06460724970430669,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,0.0,11.920273889212094,14373.0,928.6
2,3,gate_control,shap_gate,0.06568392183750428,0.7950395203052603,30.0,370.0,25.368529310935894,0.0,0.0,8.585030168107918,14585.0,958.0
2,3,gate_control,strict_rul_gate,0.0663345390022521,0.792353863624074,20.0,380.0,25.93325598853477,0.0,0.0,7.730557591302262,14653.0,972.0
2,3,gate_control,oracle_false30_gate,0.06460724970430669,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,0.0,11.920273889212094,14373.0,928.6
2,3,gate_control,random_action_matched,0.06602798263147013,0.7941868739394603,30.0,370.0,25.50141291612103,0.0,0.0,12.61250428138761,14509.0,958.0
2,4,gate_control,rul_base,0.06646412037037036,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,0.0,12.189003796659566,13824.0,918.8
2,4,gate_control,shap_gate,0.06757485454803462,0.7908203344181349,34.0,366.0,25.968497232865047,0.0,0.0,9.333715502542974,14094.0,952.4
2,4,gate_control,strict_rul_gate,0.06795869288442495,0.7892151389974322,28.0,372.0,26.312066770406,0.0,0.0,8.279079833696242,14138.0,960.8
2,4,gate_control,oracle_false30_gate,0.06646412037037036,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,0.0,12.189003796659566,13824.0,918.8
2,4,gate_control,random_action_matched,0.06803343095935424,0.7896993287076212,34.0,366.0,26.144724623187372,0.0,0.0,12.67339960572983,13999.0,952.4
2,5,gate_control,rul_base,0.06046854082998661,0.812486404176637,69.0,331.0,22.15528781793842,0.0,0.0,12.437252461167903,14940.0,903.4
2,5,gate_control,shap_gate,0.0623856832686361,0.804052266835952,37.0,363.0,23.883150207250477,0.0,0.0,10.690452983997718,15199.0,948.2
2,5,gate_control,strict_rul_gate,0.06280149029348323,0.8020445609436435,28.0,372.0,24.31531472645271,0.0,0.0,7.346412652973577,15299.0,960.8
2,5,gate_control,oracle_false30_gate,0.06046854082998661,0.812486404176637,69.0,331.0,22.15528781793842,0.0,0.0,12.437252461167903,14940.0,903.4
2,5,gate_control,random_action_matched,0.0625544267053701,0.8036263386703425,37.0,363.0,23.9477503628447,0.0,0.0,13.526959930086171,15158.0,948.2
2,6,gate_control,rul_base,0.06047844339308323,0.8121110449699659,66.0,334.0,22.256280402478843,0.0,0.0,11.450584504930628,15007.0,907.6
2,6,gate_control,shap_gate,0.061794888554807505,0.8057618370464001,39.0,361.0,23.596313484541472,0.0,0.0,8.2473238530696,15299.0,945.4
2,6,gate_control,strict_rul_gate,0.06289316350402911,0.8012913976254947,23.0,377.0,24.49961008578113,0.0,0.0,6.487176095342517,15388.0,967.8
2,6,gate_control,oracle_false30_gate,0.06047844339308323,0.8121110449699659,66.0,334.0,22.256280402478843,0.0,0.0,11.450584504930628,15007.0,907.6
2,6,gate_control,random_action_matched,0.06223831468071099,0.8046403220680157,39.0,361.0,23.765635286372614,0.0,0.0,11.51613044401831,15190.0,945.4
2,7,gate_control,rul_base,0.06013395847287341,0.8138013735964242,73.0,327.0,21.90221031480241,0.0,0.0,12.097408912348184,14930.0,897.8
2,7,gate_control,shap_gate,0.060636625622216396,0.8102313733814477,53.0,347.0,22.727272727272727,0.0,0.0,8.49304906326778,15268.0,925.8
2,7,gate_control,strict_rul_gate,0.06189334542862697,0.8047661260885436,32.0,368.0,23.84500745156483,0.0,0.0,7.074662216966633,15433.0,955.2
2,7,gate_control,oracle_false30_gate,0.06013395847287341,0.8138013735964242,73.0,327.0,21.90221031480241,0.0,0.0,12.097408912348184,14930.0,897.8
2,7,gate_control,random_action_matched,0.061482268561561956,0.8080927337125684,53.0,347.0,23.044228981272415,0.0,0.0,12.619195267363256,15058.0,925.8
2,8,gate_control,rul_base,0.06196913833128499,0.8083673694668285,66.0,334.0,22.804861395602895,0.0,0.0,12.126491518895936,14646.0,907.6
2,8,gate_control,shap_gate,0.06429002211351605,0.798405649777968,29.0,371.0,24.86095289150975,0.0,0.0,8.834345695421185,14923.0,959.4
2,8,gate_control,strict_rul_gate,0.06499766961848326,0.7953714981729598,17.0,383.0,25.501032026100273,0.0,0.0,8.366941656574639,15019.0,976.2
2,8,gate_control,oracle_false30_gate,0.06196913833128499,0.8083673694668285,66.0,334.0,22.804861395602895,0.0,0.0,12.126491518895936,14646.0,907.6
2,8,gate_control,random_action_matched,0.06432019308125503,0.798330122029544,29.0,371.0,24.87262000536337,0.0,0.0,12.97034315203506,14916.0,959.4
2,9,gate_control,rul_base,0.056673089274245345,0.8238967086464176,84.0,316.0,20.29543994861914,0.0,0.0,12.380200922673426,15570.0,882.4
2,9,gate_control,shap_gate,0.058223416890667,0.8159653149706707,49.0,351.0,21.94161405263487,0.0,0.0,9.06890179882055,15997.0,931.4
2,9,gate_control,strict_rul_gate,0.05841633466135458,0.814935064935065,44.0,356.0,22.161354581673308,0.0,0.0,8.542212984999729,16064.0,938.4
2,9,gate_control,oracle_false30_gate,0.056673089274245345,0.8238967086464176,84.0,316.0,20.29543994861914,0.0,0.0,12.380200922673426,15570.0,882.4
2,9,gate_control,random_action_matched,0.058737466103298226,0.8146416645260725,49.0,351.0,22.13533455256354,0.0,0.0,11.9373378447808,15857.0,931.4
2,10,gate_control,rul_base,0.05641156571136784,0.8244487712466453,83.0,317.0,20.23361205080743,0.0,0.0,10.82483258706749,15667.0,883.8
2,10,gate_control,shap_gate,0.05794031524515607,0.816803216121317,50.0,350.0,21.805494984736153,0.0,0.0,7.996150287921633,16051.0,930.0
2,10,gate_control,strict_rul_gate,0.058694439278408034,0.8135875321531245,38.0,362.0,22.441262166015747,0.0,0.0,7.265979370379947,16131.0,946.8
2,10,gate_control,oracle_false30_gate,0.05641156571136784,0.8244487712466453,83.0,317.0,20.23361205080743,0.0,0.0,10.82483258706749,15667.0,883.8
2,10,gate_control,random_action_matched,0.0583730856138589,0.8156870776162195,50.0,350.0,21.968365553602812,0.0,0.0,10.488106171855227,15932.0,930.0
2,11,gate_control,rul_base,0.060530879018273975,0.8119787717968158,66.0,334.0,22.275576897425637,0.0,0.0,11.178635893498358,14994.0,907.6
2,11,gate_control,shap_gate,0.06140235910878113,0.8074074074074075,45.0,355.0,23.26343381389253,0.0,0.0,8.106874112308358,15260.0,937.0
2,11,gate_control,strict_rul_gate,0.0624301494476933,0.8029844516331003,28.0,372.0,24.171539961013647,0.0,0.0,6.542439010389551,15390.0,960.8
2,11,gate_control,oracle_false30_gate,0.060530879018273975,0.8119787717968158,66.0,334.0,22.275576897425637,0.0,0.0,11.178635893498358,14994.0,907.6
2,11,gate_control,random_action_matched,0.061901301446786024,0.8061458166906321,45.0,355.0,23.45246746383035,0.0,0.0,11.601357830255074,15137.0,937.0
2,12,gate_control,rul_base,0.06228606777098083,0.8076944429023483,67.0,333.0,22.88817100831672,0.0,0.0,12.91392305748038,14549.0,906.2
