ratio,seed,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
2,0,rul_base,0.0860456858799858,0.7759206538708788,195.0,205.0,24.263226417327495,0.0,10.738175259411642,8449.0,727.0
2,1,rul_base,0.09096981692231568,0.7646613696556943,189.0,211.0,26.100940128649185,0.0,10.593741776675593,8084.0,735.4
2,2,rul_base,0.08733592610597958,0.7747645951035782,201.0,199.0,24.185707340787555,0.0,11.200129590346563,8228.0,718.6
2,3,rul_base,0.08865675310310925,0.7716453295400664,199.0,201.0,24.701978616197614,0.0,10.85909847626215,8137.0,721.4
2,4,rul_base,0.09180170447725362,0.7582597615363611,168.0,232.0,27.847797383267316,0.0,10.799195043675416,8331.0,764.8
2,0,shap_gate,0.08969172525689563,0.7535251446735676,122.0,278.0,30.070308274743105,0.0,7.749910365456868,9245.0,829.2
2,1,shap_gate,0.09505312464297955,0.7422199609938099,120.0,280.0,31.989032331771963,0.0,8.217300084453523,8753.0,832.0
2,2,shap_gate,0.09374028856825749,0.743276687015344,111.0,289.0,32.075471698113205,0.0,8.393569683994768,9010.0,844.6
2,3,shap_gate,0.09479236812570146,0.7411412410580602,111.0,289.0,32.435465768799105,0.0,9.104849672971138,8910.0,844.6
2,4,shap_gate,0.09965266106442577,0.7260229398844871,79.0,321.0,35.96638655462185,0.0,9.10003272953311,8925.0,889.4
2,0,strict_rul_selected,0.0860456858799858,0.7759206538708788,195.0,205.0,24.263226417327495,0.0,10.738175259411642,8449.0,727.0
2,1,strict_rul_selected,0.09096981692231568,0.7646613696556943,189.0,211.0,26.100940128649185,0.0,10.593741776675593,8084.0,735.4
2,2,strict_rul_selected,0.08733592610597958,0.7747645951035782,201.0,199.0,24.185707340787555,0.0,11.200129590346563,8228.0,718.6
2,3,strict_rul_selected,0.08865675310310925,0.7716453295400664,199.0,201.0,24.701978616197614,0.0,10.85909847626215,8137.0,721.4
2,4,strict_rul_selected,0.09180170447725362,0.7582597615363611,168.0,232.0,27.847797383267316,0.0,10.799195043675416,8331.0,764.8
2,0,raw_wear_selected,0.08690173270325943,0.7758766569521481,202.0,198.0,23.991275899672846,0.0,11.775668921686266,8253.0,717.2
2,1,raw_wear_selected,0.09156286117888789,0.7674189415590815,205.0,195.0,25.041736227045075,0.0,12.005401225249805,7787.0,713.0
2,2,raw_wear_selected,0.08904708380167353,0.772354586669239,205.0,195.0,24.353690520794306,0.0,11.952311194197184,8007.0,713.0
2,3,raw_wear_selected,0.08848500254194205,0.7765495459928938,217.0,183.0,23.258769700050838,0.0,11.576850514431042,7868.0,696.2
2,4,raw_wear_selected,0.09160736196319019,0.7615398990842833,181.0,219.0,26.87116564417178,0.0,11.395577357879029,8150.0,746.6
2,0,wear_torque_selected,0.09046146527117031,0.7615942028985507,171.0,229.0,27.235965746907706,0.011695906432748537,12.965420812006835,8408.0,760.6
2,1,wear_torque_selected,0.09819376026272578,0.7437294504462189,159.0,241.0,30.44082354427182,0.031446540880503145,13.632450249986814,7917.0,777.4
2,2,wear_torque_selected,0.09507473658417055,0.7500459474361331,160.0,240.0,29.4045577064445,0.05,13.727705750652808,8162.0,776.0
2,3,wear_torque_selected,0.09578335600346236,0.7488656357070099,161.0,239.0,29.55360455051317,0.018633540372670808,13.646730773812449,8087.0,774.6
2,4,wear_torque_selected,0.09928631910003628,0.7353019656675265,128.0,272.0,32.90189911697109,0.03125,14.157892185116326,8267.0,820.8
2,0,periodic_fine_selected,0.10106175514626219,0.7185115989413047,48.0,352.0,38.136511375948,0.08333333333333333,17.746657631577367,9230.0,932.8
2,1,periodic_fine_selected,0.10663441603317207,0.7082721488007832,53.0,347.0,39.967749366505416,0.2830188679245283,21.81407315726349,8682.0,925.8
2,2,periodic_fine_selected,0.1025054945054945,0.7156338471217364,48.0,352.0,38.68131868131868,0.08333333333333333,16.529697477120006,9100.0,932.8
2,3,periodic_fine_selected,0.10516048542588183,0.7109910491089428,52.0,348.0,39.46920721333787,0.2692307692307692,21.760899098175024,8817.0,927.2
2,4,periodic_fine_selected,0.10724237190558433,0.7064996339380135,49.0,351.0,40.41450777202073,0.40816326530612246,24.259988031655354,8685.0,931.4
2,0,oracle_wear_final,0.07402076693739076,0.8020944998763091,200.0,200.0,20.56132414927521,0.0,5.020267345722037,9727.0,720.0
2,1,oracle_wear_final,0.07889748338598976,0.7910885115918297,197.0,203.0,22.115698877873406,0.005076142131979695,5.781340710664509,9179.0,724.2
2,2,oracle_wear_final,0.07560923471569046,0.8007531667237248,209.0,191.0,20.414707139803333,0.014354066985645933,6.377011634698377,9356.0,707.4
2,3,oracle_wear_final,0.07443448570209134,0.8048780487804879,216.0,184.0,19.632949210414,0.009259259259259259,5.729061026797228,9372.0,697.6
2,4,oracle_wear_final,0.08040673518478023,0.7861440605122916,189.0,211.0,23.070194620599167,0.0,6.563116616195945,9146.0,735.4
5,0,rul_base,0.16293957226926942,0.7714538810762928,242.0,158.0,22.67834074924645,0.045454545454545456,17.921164217741378,6967.0,1135.2
5,1,rul_base,0.1777049180327869,0.7558008560486597,229.0,171.0,25.484351713859912,0.05240174672489083,17.222559117174885,6710.0,1192.4
5,2,rul_base,0.16106273062730628,0.7734901244434296,252.0,148.0,21.8450184501845,0.07539682539682539,17.740555488998748,6775.0,1091.2
5,3,rul_base,0.16397515527950313,0.7703349282296651,254.0,146.0,22.117860930162095,0.07086614173228346,17.557895998644785,6601.0,1082.4
5,4,rul_base,0.17335243553008595,0.7603485838779956,225.0,175.0,25.07163323782235,0.10666666666666667,17.637848418496116,6980.0,1210.0
5,0,shap_gate,0.17309853877856876,0.7606155599886008,185.0,215.0,26.851504933183463,0.032432432432432434,15.007687438753344,8007.0,1386.0
5,1,shap_gate,0.18691159586681974,0.7463581833761782,167.0,233.0,29.72317897691032,0.029940119760479042,14.370487945621484,7839.0,1465.2
5,2,shap_gate,0.17971597335679276,0.7537179122856872,175.0,225.0,28.27698881487998,0.045714285714285714,14.566681939699873,7957.0,1430.0
5,3,shap_gate,0.1862610899873257,0.7470176103010794,166.0,234.0,29.657794676806084,0.04216867469879518,15.5735176651425,7890.0,1469.6
5,4,shap_gate,0.19234063995968756,0.7408997573268621,153.0,247.0,31.116150163769213,0.06535947712418301,16.14612532892597,7938.0,1526.8
5,0,strict_rul_selected,0.15883536513196828,0.7759206538708788,195.0,205.0,24.263226417327495,0.0,10.738175259411642,8449.0,1342.0
5,1,strict_rul_selected,0.16927263730826325,0.7646613696556943,189.0,211.0,26.100940128649185,0.0,10.593741776675593,8084.0,1368.4
5,2,strict_rul_selected,0.15989304812834224,0.7747645951035782,201.0,199.0,24.185707340787555,0.0,11.200129590346563,8228.0,1315.6
5,3,strict_rul_selected,0.16276268895170212,0.7716453295400664,199.0,201.0,24.701978616197614,0.0,10.85909847626215,8137.0,1324.4
5,4,strict_rul_selected,0.17534509662705558,0.7582597615363611,168.0,232.0,27.847797383267316,0.0,10.799195043675416,8331.0,1460.8
5,0,raw_wear_selected,0.15887556040227796,0.7758766569521481,202.0,198.0,23.991275899672846,0.0,11.775668921686266,8253.0,1311.2
5,1,raw_wear_selected,0.1666880698600231,0.7674189415590815,205.0,195.0,25.041736227045075,0.0,12.005401225249805,7787.0,1298.0
5,2,raw_wear_selected,0.16210815536405646,0.772354586669239,205.0,195.0,24.353690520794306,0.0,11.952311194197184,8007.0,1298.0
5,3,raw_wear_selected,0.15826131164209456,0.7765495459928938,217.0,183.0,23.258769700050838,0.0,11.576850514431042,7868.0,1245.2
5,4,raw_wear_selected,0.17222085889570551,0.7615398990842833,181.0,219.0,26.87116564417178,0.0,11.395577357879029,8150.0,1403.6
5,0,wear_torque_selected,0.17078831532613045,0.7630534351145039,209.0,191.0,25.47685740963052,0.0430622009569378,16.902034588013436,7497.0,1280.4
5,1,wear_torque_selected,0.18608792431830828,0.7471933471933472,196.0,204.0,28.380634390651085,0.09183673469387756,16.84246764682175,7188.0,1337.6
5,2,wear_torque_selected,0.17407912687585267,0.7595854922279792,210.0,190.0,25.920873124147338,0.1,16.726029455450828,7330.0,1276.0
5,3,wear_torque_selected,0.17693056908306665,0.7566059585219497,211.0,189.0,26.297481563934884,0.07582938388625593,16.390285403819465,7187.0,1271.6
5,4,wear_torque_selected,0.18586656138965654,0.7474181174387725,179.0,221.0,29.082774049217,0.0782122905027933,16.525335233391772,7599.0,1412.4
5,0,periodic_fine_selected,0.21537773804202057,0.7185994217796338,62.0,338.0,37.773804202056326,0.2903225806451613,21.91573346195691,8948.0,1927.2
5,1,periodic_fine_selected,0.22983899821109124,0.7052737824880141,62.0,338.0,40.310077519379846,0.3709677419354839,25.746920098171312,8385.0,1927.2
5,2,periodic_fine_selected,0.21982553528945284,0.7144475920679887,59.0,341.0,38.63147162116234,0.2033898305084746,20.121043214259085,8827.0,1940.4
5,3,periodic_fine_selected,0.2263947491795593,0.7084025240783792,61.0,339.0,39.73277074542897,0.4098360655737705,25.38633770007496,8532.0,1931.6
5,4,periodic_fine_selected,0.22865315852205007,0.7063478700117864,64.0,336.0,40.0476758045292,0.453125,27.2992660740338,8390.0,1918.4
5,0,oracle_wear_final,0.1357047393852164,0.8020944998763091,200.0,200.0,20.56132414927521,0.0,5.020267345722037,9727.0,1320.0
5,1,oracle_wear_final,0.14524458001961,0.7910885115918297,197.0,203.0,22.115698877873406,0.005076142131979695,5.781340710664509,9179.0,1333.2
5,2,oracle_wear_final,0.13685335613510047,0.8007531667237248,209.0,191.0,20.414707139803333,0.014354066985645933,6.377011634698377,9356.0,1280.4
5,3,oracle_wear_final,0.13333333333333333,0.8048780487804879,216.0,184.0,19.632949210414,0.009259259259259259,5.729061026797228,9372.0,1249.6
5,4,oracle_wear_final,0.14961731904657774,0.7861440605122916,189.0,211.0,23.070194620599167,0.0,6.563116616195945,9146.0,1368.4
