dataset,model,rmse_mean,rmse_sd,mae_mean,mae_sd,nasa_s_score_mean,nasa_s_score_sd,overestimate_fraction_mean,within_20_cycles_mean,train_seconds_mean,predict_seconds_mean,total_cell_seconds_mean
FD001,hgb,16.465934759206704,0.2840459689420714,11.924470000802998,0.291367472978352,427.8089363957729,26.671042777682423,0.52,0.7733333333333334,6.0277282166644,0.005470364664991667,6.035598068333154
FD002,hgb,28.39979622285809,0.16894693053347634,20.18043873125696,0.1083724797209205,10576.144184697778,471.66641280913547,0.39639639639639634,0.6113256113256114,7.389384239669501,0.007229446996158567,7.398218539659865
FD003,hgb,16.339103497523197,0.21006594263167483,11.728483457903339,0.05681294343951671,543.6292373465109,69.02002193814992,0.5933333333333333,0.7966666666666667,6.227508982662887,0.005506792668408367,6.234625548657884
FD004,hgb,29.092239201547585,0.09400027049112808,21.444974612390794,0.017946026513881143,6921.024774119425,325.3751754688977,0.45698924731182794,0.6021505376344086,7.711148715665331,0.007074978668242666,7.719758653334186
